file	w	h	in_KB	out_KB	time_ms	ssim	n_colors
mi0	96	96	1	0	46.0	100.000000	17
mi1	96	96	1	0	32.6	100.000000	18
mi2	96	96	0	0	31.6	100.000000	15
n00_mars	1280	578	905	254	610.2	71.375438	208
n01_mars	1280	1062	1398	314	873.0	60.421505	208
n02_mars	1280	1220	1397	383	1036.9	62.576232	208
n03_mars	1280	1055	1156	303	1264.1	64.979555	208
n04_mars	1280	928	1459	359	924.6	55.882216	208
n05_jupiter	581	915	489	177	322.9	85.077473	208
n06_jupiter	880	620	389	143	293.6	91.854082	208
n07_jupiter	640	577	400	145	276.4	80.994036	208
n08_jupiter	556	640	320	111	316.8	80.637637	208
n09_nebula	1280	640	1494	450	544.5	68.263865	208
n10_nebula	640	422	435	167	190.3	78.438566	208
n11_nebula	626	639	224	167	330.4	100.000000	-1
n12_nebula	930	1408	2269	693	697.7	71.238264	144
n13_nebula	1244	1280	1970	596	863.1	72.323339	208
n14_galaxy	1280	1280	1825	813	748.7	86.432215	208
n15_galaxy	640	597	390	172	207.4	87.942672	208
n16_galaxy	1280	1280	2147	984	848.7	87.548345	208
n17_galaxy	626	640	281	189	534.7	100.000000	-1
n18_galaxy	640	617	336	135	225.1	86.520341	208
n19_moon	1280	896	517	284	430.4	92.220014	208
n20_moon	640	640	513	226	213.5	86.519206	208
n21_sun	1280	650	759	169	798.2	59.028779	256
n22_sun	640	358	187	68	226.2	90.505075	208
n23_sun	640	640	386	132	234.7	91.355312	208
n24_sun	1280	1280	1443	1092	1477.6	100.000000	-1
n25_hubble	1246	1280	3463	1276	907.1	72.059245	208
n26_hubble	640	640	294	79	356.8	80.827176	208
n27_hubble	600	750	338	93	299.4	87.723617	208
n28_astronaut	1280	960	1396	323	883.3	67.704550	208
n29_astronaut	1280	853	1321	320	861.2	56.295357	208
n30_astronaut	1280	853	1037	231	941.4	57.323470	208
n31_rover	640	480	505	153	281.6	79.331896	208
n32_rover	1280	1277	688	542	749.7	96.286453	208
n33_rover	1280	834	1329	363	721.8	72.629702	208
n34_comet	640	479	151	72	220.0	89.928950	208
n35_comet	1024	487	288	138	289.1	90.714288	208
n36_comet	640	369	23	17	184.5	98.257568	176
p0_480x320	480	320	175	45	184.2	77.237513	208
p1_480x320	480	320	181	54	191.7	82.826534	208
p10_480x320	480	320	152	53	136.5	86.196478	208
p100_1024x768	1024	768	918	259	715.0	73.439335	208
p101_1024x768	1024	768	752	191	555.7	69.425204	208
p102_1024x768	1024	768	582	323	337.6	97.120356	208
p103_1024x768	1024	768	365	202	427.5	92.555319	207
p104_1024x768	1024	768	888	237	595.3	74.077920	208
p105_1024x768	1024	768	943	257	605.3	77.515409	208
p106_1024x768	1024	768	450	241	406.8	96.811563	208
p107_1024x768	1024	768	445	280	937.8	100.000000	-1
p108_1024x768	1024	768	596	182	551.3	74.662711	208
p109_1024x768	1024	768	1066	393	546.6	80.681486	208
p11_480x320	480	320	187	59	171.7	85.024621	208
p110_1024x768	1024	768	644	344	288.1	96.532710	208
p111_1024x768	1024	768	579	163	603.2	71.283606	208
p112_1024x768	1024	768	732	261	444.6	77.367831	208
p113_1024x768	1024	768	991	288	569.2	75.922151	208
p114_1024x768	1024	768	1355	390	773.6	75.955166	208
p115_1024x768	1024	768	603	390	879.9	100.000000	-1
p116_1024x768	1024	768	1207	326	562.9	66.517720	144
p117_1024x768	1024	768	724	401	318.2	95.925885	208
p118_1024x768	1024	768	1022	266	547.6	71.188033	144
p119_1024x768	1024	768	411	152	504.7	86.451201	208
p12_480x320	480	320	233	75	177.3	81.757800	208
p120_1920x1080	1920	1080	1467	311	1481.9	60.249620	208
p121_1920x1080	1920	1080	1589	418	1765.1	74.149884	208
p122_1920x1080	1920	1080	1324	279	1387.5	61.979187	208
p123_1920x1080	1920	1080	1490	316	1439.5	62.544497	256
p124_1920x1080	1920	1080	1524	319	1412.3	62.446174	208
p125_1920x1080	1920	1080	1246	812	2421.2	100.000000	-1
p126_1920x1080	1920	1080	1840	448	1598.9	69.942286	256
p127_1920x1080	1920	1080	1800	567	1154.8	77.308965	208
p128_1920x1080	1920	1080	1965	643	1166.4	79.007226	208
p129_1920x1080	1920	1080	2708	911	1226.8	80.083208	208
p13_480x320	480	320	164	62	131.8	85.781294	208
p130_1920x1080	1920	1080	2096	771	1014.0	81.665813	208
p131_1920x1080	1920	1080	1966	611	1195.8	78.170388	208
p132_1920x1080	1920	1080	3377	1167	899.0	77.775217	208
p133_1920x1080	1920	1080	2247	912	982.1	82.073329	208
p134_1920x1080	1920	1080	3417	1167	855.3	79.311208	208
p135_1920x1080	1920	1080	2257	725	1176.2	73.639511	208
p136_1920x1080	1920	1080	3795	1203	783.8	65.485845	144
p137_1920x1080	1920	1080	2927	905	1262.5	71.614497	208
p138_1920x1080	1920	1080	3263	835	1243.0	72.159187	208
p139_1920x1080	1920	1080	2139	539	1580.1	66.147815	208
p14_480x320	480	320	300	107	164.1	81.738704	208
p140_1920x1080	1920	1080	2860	709	1446.2	72.404925	208
p141_1920x1080	1920	1080	2822	1291	608.5	81.833963	208
p142_1920x1080	1920	1080	1112	399	1085.6	86.462559	208
p143_1920x1080	1920	1080	1328	782	2378.4	100.000000	-1
p144_1920x1080	1920	1080	3035	838	1134.3	74.730296	144
p145_1920x1080	1920	1080	2221	1088	769.2	85.178507	208
p146_1920x1080	1920	1080	2510	768	1114.0	75.229712	208
p147_1920x1080	1920	1080	4182	1303	1165.6	75.479026	208
p148_1920x1080	1920	1080	3757	1413	752.3	78.840068	208
p149_1920x1080	1920	1080	1456	340	1680.8	63.563853	208
p15_480x320	480	320	169	54	143.5	80.477955	208
p150_1920x1080	1920	1080	862	421	898.0	93.082014	208
p151_1920x1080	1920	1080	2776	1322	579.1	84.701020	208
p152_1920x1080	1920	1080	1947	558	1268.7	67.693133	208
p153_1920x1080	1920	1080	3780	874	1023.6	71.940753	144
p154_1920x1080	1920	1080	1700	352	1396.8	62.825097	256
p155_1920x1080	1920	1080	1668	582	1181.1	79.272186	208
p156_1920x1080	1920	1080	1828	609	1200.0	77.693245	208
p157_1920x1080	1920	1080	1777	704	881.5	79.917924	208
p158_1920x1080	1920	1080	739	409	2404.9	100.000000	-1
p159_1920x1080	1920	1080	2313	771	1042.8	79.541508	208
p16_480x320	480	320	275	90	158.9	81.472889	208
p160_1920x1080	1920	1080	1976	512	1380.7	63.447558	208
p161_1920x1080	1920	1080	1627	386	1326.6	64.353505	208
p162_1920x1080	1920	1080	1409	767	835.8	96.730301	208
p163_1920x1080	1920	1080	878	453	1007.4	91.479313	208
p164_1920x1080	1920	1080	2083	542	1357.8	71.833481	208
p165_1920x1080	1920	1080	2350	630	1279.5	75.160163	208
p166_1920x1080	1920	1080	1137	601	922.3	96.485391	208
p167_1920x1080	1920	1080	1002	600	2514.4	100.000000	-1
p168_1920x1080	1920	1080	1258	364	1203.3	70.978520	208
p169_1920x1080	1920	1080	2762	994	1150.6	78.449346	208
p17_480x320	480	320	250	71	197.9	77.898038	208
p170_1920x1080	1920	1080	1796	974	601.5	95.631158	208
p171_1920x1080	1920	1080	1263	797	1919.5	100.000000	-1
p172_1920x1080	1920	1080	1403	792	2309.4	100.000000	-1
p173_1920x1080	1920	1080	2373	685	1340.4	74.641939	208
p174_1920x1080	1920	1080	3738	1107	1015.4	71.955614	208
p175_1920x1080	1920	1080	1451	896	2092.1	100.000000	-1
p176_1920x1080	1920	1080	2780	754	1052.2	64.426332	144
p177_1920x1080	1920	1080	1538	810	810.5	95.960723	208
p178_1920x1080	1920	1080	2414	604	1276.8	68.072830	144
p179_1920x1080	1920	1080	901	334	1121.6	84.871641	208
p18_480x320	480	320	309	92	199.4	80.615869	208
p180_2400x1600	2400	1600	2315	505	2481.5	64.849614	256
p181_2400x1600	2400	1600	2436	633	2704.8	69.965052	208
p182_2400x1600	2400	1600	2224	1414	3866.3	100.000000	-1
p183_2400x1600	2400	1600	2370	1475	4053.5	100.000000	-1
p184_2400x1600	2400	1600	2667	597	2799.7	65.651612	256
p185_2400x1600	2400	1600	1970	1229	4322.7	100.000000	-1
p186_2400x1600	2400	1600	2895	693	2413.4	67.419586	256
p187_2400x1600	2400	1600	3215	1002	2338.1	76.430281	208
p188_2400x1600	2400	1600	3522	1155	2430.5	78.149509	208
p189_2400x1600	2400	1600	4628	1527	2519.8	77.515893	208
p19_480x320	480	320	208	54	161.8	75.932002	208
p190_2400x1600	2400	1600	3621	1442	2032.7	80.095990	208
p191_2400x1600	2400	1600	3180	994	2138.3	73.375507	208
p192_2400x1600	2400	1600	6004	2037	1422.2	75.768238	144
p193_2400x1600	2400	1600	3882	1556	1664.0	81.130046	208
p194_2400x1600	2400	1600	5891	1972	1742.8	76.468755	208
p195_2400x1600	2400	1600	4002	1282	2134.7	74.267529	208
p196_2400x1600	2400	1600	6750	2080	1401.6	70.746109	144
p197_2400x1600	2400	1600	5211	1570	2155.9	69.606688	208
p198_2400x1600	2400	1600	5696	1423	2335.2	70.115913	208
p199_2400x1600	2400	1600	3708	967	2441.0	63.354215	208
p2_480x320	480	320	169	42	176.2	77.609669	208
p20_480x320	480	320	258	70	189.3	78.224859	208
p200_2400x1600	2400	1600	5085	1223	2759.9	70.028240	208
p201_2400x1600	2400	1600	5198	2380	1176.6	81.329291	208
p202_2400x1600	2400	1600	2028	1183	4387.1	100.000000	-1
p203_2400x1600	2400	1600	2223	1262	4523.3	100.000000	-1
p204_2400x1600	2400	1600	5252	1389	1908.8	72.662443	144
p205_2400x1600	2400	1600	4075	2070	1354.6	83.468792	208
p206_2400x1600	2400	1600	4279	1349	2119.8	74.481229	208
p207_2400x1600	2400	1600	7315	2116	2132.9	73.707517	208
p208_2400x1600	2400	1600	6451	2428	1503.4	77.570156	208
p209_2400x1600	2400	1600	2426	607	2186.7	64.223988	256
p21_480x320	480	320	211	99	91.0	86.073823	208
p210_2400x1600	2400	1600	1628	800	1403.8	92.090505	208
p211_2400x1600	2400	1600	5115	2330	1166.9	83.783704	208
p212_2400x1600	2400	1600	3459	969	2693.7	65.022657	208
p213_2400x1600	2400	1600	6538	1447	1986.1	70.042820	144
p214_2400x1600	2400	1600	2699	1955	3729.9	100.000000	-1
p215_2400x1600	2400	1600	3208	1143	2397.1	78.980478	208
p216_2400x1600	2400	1600	3069	955	1891.9	74.281235	208
p217_2400x1600	2400	1600	3005	1142	1949.9	77.504470	208
p218_2400x1600	2400	1600	1101	595	3960.2	100.000000	-1
p219_2400x1600	2400	1600	4280	1481	1894.0	79.101331	208
p22_480x320	480	320	135	46	133.4	88.044995	208
p220_2400x1600	2400	1600	3175	837	2682.7	64.324172	256
p221_2400x1600	2400	1600	2675	654	2374.5	65.385878	256
p222_2400x1600	2400	1600	2204	1177	1398.4	96.290853	208
p223_2400x1600	2400	1600	1613	839	1694.4	90.963695	208
p224_2400x1600	2400	1600	3416	888	2193.7	66.532239	208
p225_2400x1600	2400	1600	4254	1146	2388.9	73.141664	208
p226_2400x1600	2400	1600	2029	1065	1527.6	96.131281	208
p227_2400x1600	2400	1600	1816	1041	4748.9	100.000000	-1
p228_2400x1600	2400	1600	2015	575	1953.5	68.570018	208
p229_2400x1600	2400	1600	5050	1797	2006.5	76.842862	208
p23_480x320	480	320	116	35	135.7	85.924378	208
p230_2400x1600	2400	1600	3555	1962	909.9	95.152165	208
p231_2400x1600	2400	1600	1959	1148	3574.0	100.000000	-1
p232_2400x1600	2400	1600	2384	1273	4601.2	100.000000	-1
p233_2400x1600	2400	1600	4135	1163	2485.1	72.082426	208
p234_2400x1600	2400	1600	6901	2130	1939.1	71.536596	208
p235_2400x1600	2400	1600	2432	1446	3825.1	100.000000	-1
p236_2400x1600	2400	1600	4813	1355	2146.1	67.652804	208
p237_2400x1600	2400	1600	2748	1434	1478.2	95.696448	208
p238_2400x1600	2400	1600	4225	1012	2103.5	63.714714	144
p239_2400x1600	2400	1600	1425	853	3659.3	100.000000	-1
p24_480x320	480	320	281	92	127.1	86.375240	208
p240_3840x2560	3840	2560	4925	3149	9995.7	100.000000	-1
p241_3840x2560	3840	2560	4979	3419	8684.5	100.000000	-1
p242_3840x2560	3840	2560	4702	2829	10188.3	100.000000	-1
p243_3840x2560	3840	2560	4918	2898	10454.4	100.000000	-1
p244_3840x2560	3840	2560	6234	1534	1968.1	60.862810	256
p245_3840x2560	3840	2560	3932	2372	10291.5	100.000000	-1
p246_3840x2560	3840	2560	6166	3852	10209.4	100.000000	-1
p247_3840x2560	3840	2560	7585	2606	1773.2	72.319345	208
p248_3840x2560	3840	2560	8498	3098	1658.2	73.901642	208
p249_3840x2560	3840	2560	9709	3580	1905.2	74.253750	208
p25_480x320	480	320	159	71	115.5	87.995899	208
p250_3840x2560	3840	2560	7553	3065	1761.9	76.345718	208
p251_3840x2560	3840	2560	6490	2094	2015.7	70.027652	208
p252_3840x2560	3840	2560	13084	4912	1564.3	74.830283	208
p253_3840x2560	3840	2560	8183	3372	1655.1	78.921635	208
p254_3840x2560	3840	2560	12695	4099	1668.9	72.869948	208
p255_3840x2560	3840	2560	8624	2789	1970.0	69.433473	208
p256_3840x2560	3840	2560	14774	5378	1484.2	72.346150	208
p257_3840x2560	3840	2560	11126	3312	1939.9	63.672774	208
p258_3840x2560	3840	2560	12340	3103	2141.3	61.112241	208
p259_3840x2560	3840	2560	8162	2333	2055.1	56.004032	208
p26_480x320	480	320	211	65	177.2	81.455018	208
p260_3840x2560	3840	2560	10986	2752	1994.3	62.745363	208
p261_3840x2560	3840	2560	12802	5917	1230.8	80.850173	208
p262_3840x2560	3840	2560	4191	2332	10283.6	100.000000	-1
p263_3840x2560	3840	2560	4344	2312	11965.5	100.000000	-1
p264_3840x2560	3840	2560	11417	3019	1667.2	66.637982	144
p265_3840x2560	3840	2560	9979	5600	1545.1	82.288227	208
p266_3840x2560	3840	2560	9164	2789	1791.8	70.885490	208
p267_3840x2560	3840	2560	17017	5423	1523.0	68.573642	208
p268_3840x2560	3840	2560	15062	6124	1214.1	74.608586	208
p269_3840x2560	3840	2560	4256	2684	9898.0	100.000000	-1
p27_480x320	480	320	329	100	182.5	81.924896	208
p270_3840x2560	3840	2560	3536	1735	1335.2	90.511921	208
p271_3840x2560	3840	2560	11833	5472	1317.5	81.792528	208
p272_3840x2560	3840	2560	8509	2524	1906.3	59.367565	208
p273_3840x2560	3840	2560	14748	3849	1757.5	72.263620	208
p274_3840x2560	3840	2560	5440	3836	9023.0	100.000000	-1
p275_3840x2560	3840	2560	7663	2825	1616.4	74.790234	208
p276_3840x2560	3840	2560	6524	2036	1597.9	74.561376	256
p277_3840x2560	3840	2560	5429	2974	11973.0	100.000000	-1
p278_3840x2560	3840	2560	1945	993	8555.7	100.000000	-1
p279_3840x2560	3840	2560	10718	4044	1495.6	76.959233	208
p28_480x320	480	320	266	100	135.4	85.011123	208
p280_3840x2560	3840	2560	6128	3417	11515.5	100.000000	-1
p281_3840x2560	3840	2560	5281	3218	10039.9	100.000000	-1
p282_3840x2560	3840	2560	4571	2407	1506.8	95.313151	208
p283_3840x2560	3840	2560	3388	2179	8453.9	100.000000	-1
p284_3840x2560	3840	2560	6895	1869	2053.6	67.121517	256
p285_3840x2560	3840	2560	9266	2412	1972.4	68.936923	208
p286_3840x2560	3840	2560	4493	2364	1306.9	95.453369	208
p287_3840x2560	3840	2560	3962	2184	12016.4	100.000000	-1
