file	w	h	in_KB	out_KB	time_ms	ssim	n_colors
p288_3840x2560	3840	2560	3928	1188	1551.2	67.684100	256
p289_3840x2560	3840	2560	12269	4704	1546.2	75.020178	208
p29_480x320	480	320	191	50	186.9	78.531330	208
p290_3840x2560	3840	2560	9795	5590	938.8	93.726266	208
p291_3840x2560	3840	2560	3166	1698	8993.3	100.000000	-1
p292_3840x2560	3840	2560	3582	1819	13916.2	100.000000	-1
p293_3840x2560	3840	2560	8666	2505	2257.2	67.472038	208
p294_3840x2560	3840	2560	17113	5821	1358.5	66.227671	208
p295_3840x2560	3840	2560	4797	2672	10042.4	100.000000	-1
p296_3840x2560	3840	2560	10051	2846	1878.1	62.311568	208
p297_3840x2560	3840	2560	5583	2832	1983.9	93.827280	208
p298_3840x2560	3840	2560	9052	2482	1411.1	63.751259	208
p299_3840x2560	3840	2560	2644	1507	9160.3	100.000000	-1
p3_480x320	480	320	177	43	202.6	74.744099	208
p30_480x320	480	320	66	30	109.3	96.026262	208
p31_480x320	480	320	210	104	91.8	88.297409	208
p32_480x320	480	320	192	60	166.2	77.098520	208
p33_480x320	480	320	332	94	182.8	80.273251	208
p34_480x320	480	320	204	48	219.6	74.115230	208
p35_480x320	480	320	175	65	135.1	81.799101	208
p36_480x320	480	320	179	59	152.5	82.466167	208
p37_480x320	480	320	146	49	129.3	83.808180	208
p38_480x320	480	320	97	29	149.7	82.714070	208
p39_480x320	480	320	193	77	145.9	83.561366	208
p4_480x320	480	320	174	42	221.1	77.014948	208
p40_480x320	480	320	235	74	232.9	82.364614	208
p400_sm_380x260	380	260	122	33	140.1	78.985995	208
p401_sm_460x320	460	320	174	51	156.9	83.870875	208
p402_sm_540x380	540	380	209	52	209.9	75.193128	208
p403_sm_620x200	620	200	138	35	160.9	79.024696	208
p404_sm_300x260	300	260	99	25	120.1	80.344646	208
p405_sm_380x320	380	320	137	31	155.5	77.734063	208
p406_sm_460x380	460	380	235	64	177.9	80.075070	208
p407_sm_540x200	540	200	128	44	116.5	86.887772	208
p408_sm_620x260	620	260	185	61	162.2	84.920532	208
p409_sm_300x320	300	320	125	45	106.8	85.280531	208
p41_480x320	480	320	194	53	166.6	77.565418	208
p410_sm_380x380	380	380	136	48	138.8	86.812865	208
p411_sm_460x200	460	200	119	38	114.4	85.812287	208
p412_sm_540x260	540	260	211	69	148.1	82.741162	208
p413_sm_620x320	620	320	219	87	149.1	85.427982	208
p414_sm_300x380	300	380	227	80	139.8	82.478791	208
p415_sm_380x200	380	200	83	27	94.1	83.917532	208
p416_sm_460x260	460	260	217	72	142.7	80.969399	208
p417_sm_540x320	540	320	276	81	214.0	78.693801	208
p418_sm_620x380	620	380	454	131	230.2	78.376051	208
p419_sm_300x200	300	200	95	26	99.6	81.182036	208
p42_480x320	480	320	122	66	99.0	97.975754	-1
p420_sm_380x260	380	260	172	47	135.7	76.164663	208
p421_sm_460x320	460	320	202	94	89.8	86.036684	208
p422_sm_540x380	540	380	168	58	163.0	88.052327	208
p423_sm_620x200	620	200	107	31	126.5	85.715998	208
p424_sm_300x260	300	260	144	49	92.8	85.483555	208
p425_sm_380x320	380	320	131	55	101.2	87.835341	208
p426_sm_460x380	460	380	231	74	177.6	81.974103	208
p427_sm_540x200	540	200	244	84	157.6	82.722027	208
p428_sm_620x260	620	260	307	119	128.8	85.848272	208
p429_sm_300x320	300	320	122	36	181.3	79.765587	208
p43_480x320	480	320	79	42	113.7	93.846764	208
p430_sm_380x380	380	380	64	29	118.7	95.928649	208
p431_sm_460x200	460	200	125	61	74.6	89.911889	208
p432_sm_540x260	540	260	181	59	143.4	80.145378	208
p433_sm_620x320	620	320	421	105	171.8	73.662851	144
p434_sm_300x380	300	380	149	35	173.2	74.275452	208
p435_sm_380x200	380	200	101	37	99.6	87.098785	208
p436_sm_460x260	460	260	140	46	141.5	82.443097	208
p437_sm_540x320	540	320	163	56	138.8	84.736362	208
p438_sm_620x380	620	380	134	83	300.7	100.000000	-1
p439_sm_300x200	300	200	83	33	78.7	85.366687	208
p44_480x320	480	320	218	63	190.0	81.190535	208
p440_sm_380x260	380	260	160	51	135.3	83.986319	208
p441_sm_460x320	460	320	189	51	179.8	77.842324	208
p442_sm_540x380	540	380	161	89	117.8	97.646671	-1
p443_sm_620x200	620	200	55	28	98.6	95.055918	208
p444_sm_300x260	300	260	122	36	124.5	82.066271	208
p445_sm_380x320	380	320	156	43	140.2	82.216025	208
p446_sm_460x380	460	380	111	58	112.2	97.862308	-1
p447_sm_540x200	540	200	84	24	128.7	83.656392	208
p448_sm_620x260	620	260	148	44	187.4	80.624166	208
p449_sm_300x320	300	320	133	52	118.6	84.018583	208
p45_480x320	480	320	197	53	189.8	81.089322	208
p46_480x320	480	320	100	52	106.2	97.342367	208
p47_480x320	480	320	130	37	164.1	82.159159	208
p48_480x320	480	320	152	47	154.3	79.299376	208
p49_480x320	480	320	224	78	155.4	84.034346	208
p5_480x320	480	320	167	37	189.2	77.403246	208
p50_480x320	480	320	131	71	85.4	97.490450	208
p51_480x320	480	320	149	45	165.3	79.052325	208
p52_480x320	480	320	143	46	134.6	85.206535	208
p53_480x320	480	320	229	66	169.7	79.799888	208
p54_480x320	480	320	254	72	168.8	76.971495	208
p55_480x320	480	320	172	33	196.7	68.471879	208
p56_480x320	480	320	259	78	173.3	75.911777	208
p57_480x320	480	320	144	80	88.2	97.580257	208
p58_480x320	480	320	223	65	185.4	82.045072	208
p59_480x320	480	320	111	41	131.9	87.926591	208
p6_480x320	480	320	215	59	168.3	80.090058	208
p60_1024x768	1024	768	651	147	606.9	68.869263	208
p61_1024x768	1024	768	690	192	633.4	78.815395	208
p62_1024x768	1024	768	612	141	584.6	68.618025	208
p63_1024x768	1024	768	673	152	682.4	67.413773	256
p64_1024x768	1024	768	658	143	618.3	68.557532	208
p65_1024x768	1024	768	573	119	662.7	68.387748	256
p66_1024x768	1024	768	801	200	553.5	72.405938	208
p67_1024x768	1024	768	747	244	497.3	79.687082	208
p68_1024x768	1024	768	764	268	516.9	81.959881	208
p69_1024x768	1024	768	1040	344	506.5	81.689034	208
p7_480x320	480	320	180	61	145.7	84.477384	208
p70_1024x768	1024	768	812	299	446.2	83.032287	208
p71_1024x768	1024	768	820	261	511.3	80.976357	208
p72_1024x768	1024	768	1275	437	435.1	81.429208	208
p73_1024x768	1024	768	856	338	398.4	83.917849	208
p74_1024x768	1024	768	1422	506	442.1	79.640614	208
p75_1024x768	1024	768	832	261	504.7	75.797037	208
p76_1024x768	1024	768	1458	442	394.9	73.788712	144
p77_1024x768	1024	768	1122	308	590.5	74.994181	208
p78_1024x768	1024	768	1367	365	610.1	76.067309	208
p79_1024x768	1024	768	850	223	609.2	68.798535	208
p8_480x320	480	320	179	62	155.3	85.293875	208
p80_1024x768	1024	768	1247	321	666.4	74.741662	208
p81_1024x768	1024	768	1098	513	252.3	83.307605	208
p82_1024x768	1024	768	479	165	467.7	87.008801	208
p83_1024x768	1024	768	504	303	914.1	100.000000	-1
p84_1024x768	1024	768	1285	378	515.2	78.154453	144
p85_1024x768	1024	768	821	392	304.1	85.791861	208
p86_1024x768	1024	768	984	314	491.2	78.380518	208
p87_1024x768	1024	768	1598	448	465.2	73.077312	144
p88_1024x768	1024	768	1345	503	347.3	82.158255	208
p89_1024x768	1024	768	763	196	607.7	68.530000	208
p9_480x320	480	320	201	65	139.1	84.499203	208
p90_1024x768	1024	768	300	138	419.0	94.018251	208
p91_1024x768	1024	768	1125	517	265.4	86.563330	208
p92_1024x768	1024	768	827	240	625.7	69.831207	208
p93_1024x768	1024	768	1591	384	519.9	72.917895	144
p94_1024x768	1024	768	777	161	616.2	62.633522	208
p95_1024x768	1024	768	648	224	462.2	80.801097	208
p96_1024x768	1024	768	810	267	537.2	80.606745	208
p97_1024x768	1024	768	836	345	349.3	81.547458	208
p98_1024x768	1024	768	318	182	920.8	100.000000	-1
p99_1024x768	1024	768	898	310	540.1	81.277006	208
s000_gradient_1084x959	1084	959	6	2	277.6	94.007936	207
s001_gradient_1461x635	1461	635	5	2	217.3	100.000000	199
s002_gradient_1592x927	1592	927	111	41	1019.7	100.000000	103
s003_gradient_2298x2088	2298	2088	23	8	866.2	90.924388	208
s004_gradient_1546x574	1546	574	5	2	206.9	100.000000	168
s005_gradient_1267x606	1267	606	152	44	458.1	94.282435	208
s006_gradient_1306x1113	1306	1113	8	3	455.3	94.911863	80
s007_gradient_575x1620	575	1620	7	3	337.3	93.440315	208
s008_gradient_851x1764	851	1764	88	35	1057.7	100.000000	81
s009_gradient_782x748	782	748	4	2	201.3	95.984718	208
s010_gradient_1689x1549	1689	1549	13	5	689.9	93.886464	143
s011_gradient_2345x2127	2345	2127	293	103	2897.5	100.000000	133
s012_gradient_2267x2091	2267	2091	23	7	1144.9	100.000000	123
s013_gradient_738x576	738	576	3	2	142.5	100.000000	202
s014_gradient_1019x1768	1019	1768	371	76	1007.9	91.317401	208
s015_gradient_1880x2181	1880	2181	20	7	801.2	92.505990	207
s016_gradient_1081x1662	1081	1662	11	4	434.8	93.575632	207
s017_gradient_1023x1665	1023	1665	144	59	1219.6	94.639618	146
s018_gradient_1722x675	1722	675	6	2	254.5	98.272507	99
s019_gradient_2029x1022	2029	1022	10	3	535.8	100.000000	50
s020_gradient_1779x874	1779	874	224	64	889.4	93.101108	208
s021_gradient_1369x1631	1369	1631	12	4	658.0	100.000000	183
s022_gradient_1285x532	1285	532	4	2	176.3	95.040650	208
s023_gradient_995x1142	995	1142	126	46	765.2	100.000000	149
s024_gradient_818x1299	818	1299	7	3	324.1	94.849993	208
s025_noise_400x300	400	300	306	112	162.3	88.662696	208
s026_noise_500x380	500	380	523	177	193.1	83.539937	208
s027_noise_600x460	600	460	802	257	305.8	79.301330	208
s028_noise_700x540	700	540	1142	352	567.7	75.610591	208
s029_noise_800x620	800	620	1546	433	607.6	66.721143	144
s030_noise_900x700	900	700	2011	549	828.1	62.924362	144
s031_noise_1000x780	1000	780	2530	681	972.6	60.791681	144
s032_noise_1100x860	1100	860	3098	827	1192.5	58.880509	144
s033_noise_1200x940	1200	940	3717	987	1435.3	57.656383	144
s034_noise_1300x1020	1300	1020	4389	1160	1659.1	57.480803	144
s035_noise_1400x1100	1400	1100	5114	1349	1878.4	57.193153	144
s036_noise_1500x1180	1500	1180	5891	1553	2030.7	57.959578	144
s037_noise_1600x1260	1600	1260	6715	1769	1708.3	58.382156	144
s038_noise_1700x1340	1700	1340	7585	2000	1849.5	59.177751	144
s039_noise_1800x1420	1800	1420	8499	2243	1944.5	60.136605	144
s040_stripes_p2	500	500	2	0	52.0	100.000000	2
s041_stripes_p5	500	500	2	0	53.2	100.000000	2
s042_stripes_p8	500	500	2	0	110.0	100.000000	2
s043_stripes_p11	500	500	2	0	108.9	100.000000	2
s044_stripes_p14	500	500	2	0	59.1	100.000000	2
s045_stripes_p17	500	500	2	0	55.9	100.000000	2
s046_stripes_p20	500	500	2	0	108.6	100.000000	2
s047_stripes_p23	500	500	2	0	110.2	100.000000	2
s048_stripes_p26	500	500	2	0	104.7	100.000000	2
s049_stripes_p29	500	500	2	0	108.0	100.000000	2
s050_stripes_p32	500	500	2	0	104.3	100.000000	2
s051_stripes_p35	500	500	2	0	106.4	100.000000	2
s052_stripes_p38	500	500	2	0	54.2	100.000000	2
s053_stripes_p41	500	500	2	0	104.8	100.000000	2
s054_stripes_p44	500	500	2	0	108.8	100.000000	2
s055_solid	200	150	0	0	49.4	100.000000	1
s056_solid	250	180	0	0	60.5	100.000000	1
s057_solid	300	210	0	0	29.4	100.000000	1
s058_solid	350	240	0	0	79.9	100.000000	1
s059_solid	400	270	1	0	32.6	100.000000	1
s060_solid	450	300	1	0	34.4	100.000000	1
s061_solid	500	330	1	0	35.4	100.000000	1
s062_solid	550	360	1	0	38.3	100.000000	1
s063_solid	600	390	1	0	42.0	100.000000	1
s064_solid	650	420	1	0	98.7	100.000000	1
s065_text	800	600	65	4	231.2	93.474555	105
s066_text	800	600	59	3	235.6	93.481602	108
s067_text	800	600	64	3	220.5	93.456499	109
s068_text	800	600	66	4	229.3	93.764763	111
s069_text	800	600	61	3	220.6	93.755834	107
s070_text	800	600	65	3	216.4	93.262317	108
s071_text	800	600	67	4	217.2	93.581326	107
s072_text	800	600	62	3	215.8	93.433159	110
s073_text	800	600	68	4	217.0	93.517715	110
s074_text	800	600	67	3	228.8	92.983973	109
s075_text	800	600	67	4	221.8	93.587203	116
s076_text	800	600	60	3	220.7	93.113530	110
s077_text	800	600	66	4	219.0	93.368005	114
s078_text	800	600	68	4	219.1	93.856420	112
s079_text	800	600	63	3	217.6	93.410041	111
s080_chart	800	500	2	0	175.4	100.000000	7
s081_chart	900	500	3	0	177.8	100.000000	7
s082_chart	1000	500	3	0	185.8	100.000000	7
s083_chart	1100	500	3	0	195.0	100.000000	7
s084_chart	1200	500	3	0	206.9	100.000000	7
s085_trans_circle	400	400	2	0	50.0	100.000000	2
s086_trans_circle	430	430	2	0	53.7	100.000000	2
s087_trans_circle	460	460	2	0	59.4	100.000000	2
s088_trans_circle	490	490	2	0	58.5	100.000000	2
s089_trans_circle	520	520	3	0	52.0	100.000000	2
s090_trans_circle	550	550	3	0	60.4	100.000000	2
s091_trans_circle	580	580	3	1	74.7	100.000000	2
s092_trans_circle	610	610	3	1	73.9	100.000000	2
s093_trans_circle	640	640	4	1	78.5	100.000000	2
s094_trans_circle	670	670	4	1	82.3	100.000000	2
s095_sprites	800	600	6	2	195.3	100.000000	21
s096_sprites	900	600	6	2	228.2	100.000000	21
s097_sprites	1000	600	6	2	216.6	100.000000	21
s098_sprites	1100	600	6	2	206.6	100.000000	21
s099_sprites	1200	600	6	2	211.2	100.000000	21
wm_0_Cat03	1280	1278	1985	528	1282.0	73.705018	208
wm00_!-tylewice-wiatrak-windmill-abri-20	3456	2304	13381	3908	1177.5	67.665680	144
wm01_!MQ_DSF9592-EnhancedAnd2more_fused_	4543	3176	15118	3317	2909.1	54.105195	208
wm02_"1930"_Pur_Sang_Type_35_Replica_in_	5278	3410	22732	7917	2648.5	77.393219	208
wm03_"A_Justiça"_sculpture_(Leopoldo_de_	5754	3843	20121	5807	5127.8	76.462722	208
wm04_"A_Justiça"_sculpture_(Leopoldo_de_	5667	3810	22704	6004	4401.4	69.949845	208
wm05_"Access_to_Justice"_by_John_Atkin_(	4000	5176	31480	8872	3638.8	67.425093	208
wm06_"Access_to_Justice"_by_John_Atkin_(	5600	4000	31009	9799	3579.1	64.811313	208
wm07_"Alte_Post",_Dorfstrasse_9_in_Leuzi	4200	4800	28208	7416	4060.5	64.574272	208
wm08_"Alter_Löwen"_in_Märstetten_TG.jpg	4200	2800	15128	4277	2338.0	60.513533	208
wm09_"Alter_Stern"_in_Siegershausen.jpg	4000	3000	16390	5238	2019.2	76.809308	208
wm10_Birds-1310600,_Wainuiomata,_Welling	3101	2495	8283	3636	1221.3	60.823523	208
wm11_Crested_hawk-eagle_(Nisaetus_cirrha	4760	3173	22586	6517	2664.0	67.826977	208
wm12_Little_Egret-1000534,_Dingle_Penins	5184	3888	21738	7536	3558.9	68.541979	208
wm13_Little_Egret-1000590,_Dingle_Penins	5184	3888	31391	10701	2814.1	61.479121	208
wm14_Little_Egret-1000593,_Dingle_Penins	5184	3888	25538	8391	3328.7	69.921214	208
