fixture	pile	c107_size	c107_dssim	tiny_size	tiny_dssim	size_ratio	dssim_delta	size_pass	dssim_pass	both_pass	baseline_pile
mi0.png	PileC	732	0.000016	831	0.000006	0.8809	+0.000010	N	N	N	PileC
mi1.png	PileC	743	0.000019	874	0.000006	0.8501	+0.000013	N	N	N	PileC
mi2.png	PileC	594	0.000016	698	0.000005	0.8510	+0.000011	N	N	N	PileC
n00_mars.png	PASS	262231	0.001556	340897	0.002005	0.7692	-0.000448	Y	Y	Y	PASS
n01_mars.png	PASS	307865	0.003305	479278	0.003190	0.6424	+0.000115	Y	N	N	PASS
n02_mars.png	PASS	362451	0.002542	544523	0.002485	0.6656	+0.000057	Y	N	N	PASS
n03_mars.png	PileB	305033	0.004410	483486	0.004058	0.6309	+0.000352	Y	N	N	PileB
n04_mars.png	PileB	360219	0.003750	504710	0.002910	0.7137	+0.000839	Y	N	N	PileB
n05_jupiter.png	PileB	148214	0.000361	207736	0.000302	0.7135	+0.000059	Y	N	N	PileB
n06_jupiter.png	PileB	111942	0.004969	186903	0.003063	0.5989	+0.001906	Y	N	N	PileB
n07_jupiter.png	PASS	124145	0.000561	160749	0.000651	0.7723	-0.000090	Y	Y	Y	PASS
n08_jupiter.png	PileB	99351	0.001207	126350	0.001123	0.7863	+0.000084	Y	N	N	PileB
n09_nebula.png	PileA	453401	0.003549	494454	0.008298	0.9170	-0.004749	N	Y	N	PileA
n10_nebula.png	PileA	166733	0.001237	182134	0.002352	0.9154	-0.001116	N	Y	N	PileA
n11_nebula.png	PileA	44744	0.004495	60684	0.005113	0.7373	-0.000618	Y	Y	Y	PileA
n12_nebula.png	PileA	797816	0.001378	769676	0.003623	1.0366	-0.002245	N	Y	N	PileA
n13_nebula.png	PileA	590136	0.002404	645039	0.004253	0.9149	-0.001849	N	Y	N	PileA
n14_galaxy.png	PileA	796096	0.001013	901681	0.002720	0.8829	-0.001707	N	Y	N	PileA
n15_galaxy.png	PileA	166266	0.001250	206151	0.003915	0.8065	-0.002665	N	Y	N	PileA
n16_galaxy.png	PileA	992403	0.000476	1112319	0.002027	0.8922	-0.001550	N	Y	N	PileA
n17_galaxy.png	PileA	87455	0.001652	120520	0.003261	0.7256	-0.001610	Y	Y	Y	PileA
n18_galaxy.png	PileA	133776	0.000916	150877	0.003410	0.8867	-0.002495	N	Y	N	PileA
n19_moon.png	PileA	298125	0.000014	273925	0.000652	1.0883	-0.000638	N	Y	N	PileA
n20_moon.png	PileA	221669	0.000686	271814	0.001135	0.8155	-0.000449	N	Y	N	PileA
n21_sun.png	PASS	158558	0.015111	225025	0.015112	0.7046	-0.000001	Y	Y	Y	PASS
n22_sun.png	PileA	66157	0.000370	71633	0.001707	0.9236	-0.001337	N	Y	N	PileA
n23_sun.png	PASS	124875	0.001212	201468	0.002362	0.6198	-0.001150	Y	Y	Y	PASS
n24_sun.png	PileA	320629	0.015654	392459	0.017567	0.8170	-0.001913	N	Y	N	PileA
n25_hubble.png	PileA	1320337	0.001130	1407354	0.002190	0.9382	-0.001059	N	Y	N	PileA
n26_hubble.png	PASS	74197	0.000788	95042	0.001385	0.7807	-0.000597	Y	Y	Y	PASS
n27_hubble.png	PileB	104303	0.004136	126717	0.003664	0.8231	+0.000472	N	N	N	PileB
n28_astronaut.png	PASS	318953	0.004494	451243	0.004752	0.7068	-0.000258	Y	Y	Y	PASS
n29_astronaut.png	PileB	318704	0.005926	455819	0.005080	0.6992	+0.000846	Y	N	N	PileB
n30_astronaut.png	PASS	227460	0.005304	382847	0.005185	0.5941	+0.000118	Y	N	N	PASS
n31_rover.png	PileC	172380	0.001134	177902	0.001354	0.9690	-0.000220	N	Y	N	PileC
n32_rover.png	PileA	516588	0.000076	482564	0.000439	1.0705	-0.000362	N	Y	N	PileA
n33_rover.png	PileB	359487	0.001075	488730	0.001125	0.7356	-0.000049	Y	Y	Y	PileB
n34_comet.png	PileA	70375	0.000194	63336	0.003450	1.1111	-0.003257	N	Y	N	PileA
n35_comet.png	PileA	140025	0.000333	163331	0.001088	0.8573	-0.000755	N	Y	N	PileA
n36_comet.png	PileA	17484	0.000006	12835	0.000632	1.3622	-0.000626	N	Y	N	PileA
p0_480x320.png	PileA	45461	0.002914	55730	0.004327	0.8157	-0.001413	N	Y	N	PileA
p100_1024x768.png	PASS	243917	0.001095	344191	0.001635	0.7087	-0.000540	Y	Y	Y	PASS
p101_1024x768.png	PASS	181544	0.001439	287524	0.001475	0.6314	-0.000036	Y	Y	Y	PASS
p102_1024x768.png	PileA	333560	0.000004	290334	0.000156	1.1489	-0.000151	N	Y	N	PileA
p103_1024x768.png	PileA	183618	0.000073	161390	0.000301	1.1377	-0.000228	N	Y	N	PileA
p104_1024x768.png	PASS	224012	0.000998	318336	0.001018	0.7037	-0.000020	Y	Y	Y	PASS
p105_1024x768.png	PileA	252766	0.000739	308358	0.001369	0.8197	-0.000630	N	Y	N	PileA
p106_1024x768.png	PileA	232259	0.000031	222351	0.000108	1.0446	-0.000077	N	Y	N	PileA
p107_1024x768.png	PileA	100534	0.000927	185286	0.000889	0.5426	+0.000037	Y	N	N	PileA
p108_1024x768.png	PASS	178667	0.000547	273177	0.000683	0.6540	-0.000136	Y	Y	Y	PASS
p109_1024x768.png	PileA	383302	0.000718	438797	0.000916	0.8735	-0.000198	N	Y	N	PileA
p10_480x320.png	PASS	51740	0.000536	63638	0.000587	0.8130	-0.000051	N	Y	N	PASS
p110_1024x768.png	PileA	316136	0.000042	319336	0.000135	0.9900	-0.000093	N	Y	N	PileA
p111_1024x768.png	PileB	157087	0.001402	238960	0.001468	0.6574	-0.000066	Y	Y	Y	PileB
p112_1024x768.png	PASS	219325	0.000380	320946	0.000495	0.6834	-0.000115	Y	Y	Y	PASS
p113_1024x768.png	PASS	263262	0.001068	348281	0.001041	0.7559	+0.000027	Y	N	N	PASS
p114_1024x768.png	PileA	387509	0.001205	439343	0.001354	0.8820	-0.000149	N	Y	N	PileA
p115_1024x768.png	PileA	87912	0.002933	204799	0.001970	0.4293	+0.000963	Y	N	N	PileA
p116_1024x768.png	PASS	401558	0.001668	431423	0.002709	0.9308	-0.001041	N	Y	N	PASS
p117_1024x768.png	PileA	413799	0.000017	374074	0.000156	1.1062	-0.000139	N	Y	N	PileA
p118_1024x768.png	PileB	349211	0.002133	387003	0.001719	0.9023	+0.000414	N	N	N	PileB
p119_1024x768.png	PASS	139299	0.000301	199798	0.000344	0.6972	-0.000043	Y	Y	Y	PASS
p11_480x320.png	PileA	58235	0.000983	68613	0.001647	0.8487	-0.000663	N	Y	N	PileA
p120_1920x1080.png	PASS	297961	0.005059	520637	0.006654	0.5723	-0.001595	Y	Y	Y	PASS
p121_1920x1080.png	PileC	402968	0.004695	542483	0.004316	0.7428	+0.000379	Y	N	N	PileC
p122_1920x1080.png	PileB	263748	0.005001	491824	0.003831	0.5363	+0.001171	Y	N	N	PileB
p123_1920x1080.png	PASS	276904	0.007006	546648	0.007202	0.5065	-0.000196	Y	Y	Y	PASS
p124_1920x1080.png	PASS	298929	0.003246	515875	0.003138	0.5795	+0.000107	Y	N	N	PASS
p125_1920x1080.png	PileA	217645	0.010050	477885	0.009766	0.4554	+0.000284	Y	N	N	PileA
p126_1920x1080.png	PileB	402133	0.004392	654601	0.003996	0.6143	+0.000396	Y	N	N	PileB
p127_1920x1080.png	PileC	539083	0.001345	678969	0.001289	0.7940	+0.000055	Y	N	N	PileC
p128_1920x1080.png	PileC	618282	0.000983	756448	0.000997	0.8173	-0.000014	N	Y	N	PileC
p129_1920x1080.png	PileC	878005	0.000778	1054145	0.000688	0.8329	+0.000091	N	N	N	PileC
p12_480x320.png	PileA	84097	0.000551	84452	0.000892	0.9958	-0.000341	N	Y	N	PileA
p130_1920x1080.png	PileA	715028	0.000695	887106	0.000899	0.8060	-0.000204	N	Y	N	PileA
p131_1920x1080.png	PileA	579607	0.001421	751372	0.001911	0.7714	-0.000490	Y	Y	Y	PileA
p132_1920x1080.png	PileA	1262792	0.000777	1276340	0.001235	0.9894	-0.000458	N	Y	N	PileA
p133_1920x1080.png	PileA	887644	0.000716	1007424	0.001036	0.8811	-0.000321	N	Y	N	PileA
p134_1920x1080.png	PileA	1156490	0.000772	1302079	0.000990	0.8882	-0.000218	N	Y	N	PileA
p135_1920x1080.png	PileA	706702	0.001171	835245	0.001255	0.8461	-0.000084	N	Y	N	PileA
p136_1920x1080.png	PileC	1378554	0.001177	1427597	0.001485	0.9656	-0.000309	N	Y	N	PileC
p137_1920x1080.png	PileC	837162	0.002919	946813	0.002387	0.8842	+0.000532	N	N	N	PileC
p138_1920x1080.png	PileC	819889	0.003023	976528	0.002074	0.8396	+0.000949	N	N	N	PileC
p139_1920x1080.png	PASS	485178	0.001246	752508	0.001191	0.6447	+0.000055	Y	N	N	PASS
p13_480x320.png	PileA	62241	0.000375	72796	0.000600	0.8550	-0.000224	N	Y	N	PileA
p140_1920x1080.png	PileA	718365	0.010249	890636	0.010287	0.8066	-0.000038	N	Y	N	PileA
p141_1920x1080.png	PileA	1255709	0.000238	1537054	0.000469	0.8170	-0.000231	N	Y	N	PileA
p142_1920x1080.png	PASS	368014	0.000415	570681	0.000802	0.6449	-0.000387	Y	Y	Y	PASS
p143_1920x1080.png	PileA	335561	0.001327	491175	0.001472	0.6832	-0.000145	Y	Y	Y	PileA
p144_1920x1080.png	PileA	993687	0.000612	1071395	0.001040	0.9275	-0.000428	N	Y	N	PileA
p145_1920x1080.png	PileA	1030407	0.000277	1317884	0.000406	0.7819	-0.000129	Y	Y	Y	PileA
p146_1920x1080.png	PileA	775331	0.001063	898833	0.001356	0.8626	-0.000293	N	Y	N	PileA
p147_1920x1080.png	PileC	1328924	0.002021	1463999	0.001383	0.9077	+0.000637	N	N	N	PileC
p148_1920x1080.png	PileA	1511023	0.000524	1558895	0.000901	0.9693	-0.000377	N	Y	N	PileA
p149_1920x1080.png	PileB	325689	0.003927	649671	0.002464	0.5013	+0.001463	Y	N	N	PileB
p14_480x320.png	PileA	113887	0.000523	118639	0.000756	0.9599	-0.000232	N	Y	N	PileA
p150_1920x1080.png	PileA	386405	0.000210	391307	0.000772	0.9875	-0.000562	N	Y	N	PileA
p151_1920x1080.png	PileA	1279800	0.000191	1432808	0.000292	0.8932	-0.000101	N	Y	N	PileA
p152_1920x1080.png	PASS	531511	0.003994	748369	0.005142	0.7102	-0.001148	Y	Y	Y	PASS
p153_1920x1080.png	PileA	1069654	0.005229	1191403	0.007764	0.8978	-0.002534	N	Y	N	PileA
p154_1920x1080.png	PileB	319558	0.007032	624033	0.002595	0.5121	+0.004437	Y	N	N	PileB
p155_1920x1080.png	PASS	546098	0.000376	755114	0.000539	0.7232	-0.000162	Y	Y	Y	PASS
p156_1920x1080.png	PileA	586663	0.000620	722150	0.000742	0.8124	-0.000121	N	Y	N	PileA
p157_1920x1080.png	PASS	629805	0.000623	829269	0.000983	0.7595	-0.000360	Y	Y	Y	PASS
p158_1920x1080.png	PileA	172483	0.000650	381228	0.000562	0.4524	+0.000089	Y	N	N	PileA
p159_1920x1080.png	PASS	733680	0.000729	935676	0.000924	0.7841	-0.000194	Y	Y	Y	PASS
p15_480x320.png	PileA	53903	0.000951	64533	0.001201	0.8353	-0.000250	N	Y	N	PileA
p160_1920x1080.png	PASS	480362	0.001988	807968	0.002318	0.5945	-0.000330	Y	Y	Y	PASS
p161_1920x1080.png	PileB	360681	0.001763	652332	0.001555	0.5529	+0.000208	Y	N	N	PileB
p162_1920x1080.png	PileA	752443	0.000049	729774	0.000208	1.0311	-0.000160	N	Y	N	PileA
p163_1920x1080.png	PileA	425508	0.000097	345991	0.000641	1.2298	-0.000544	N	Y	N	PileA
p164_1920x1080.png	PASS	492448	0.001087	761907	0.001032	0.6463	+0.000055	Y	N	N	PASS
p165_1920x1080.png	PileA	607035	0.000873	752362	0.001307	0.8068	-0.000434	N	Y	N	PileA
p166_1920x1080.png	PileA	577794	0.000036	556943	0.000124	1.0374	-0.000088	N	Y	N	PileA
p167_1920x1080.png	PileA	213656	0.000999	452563	0.000880	0.4721	+0.000119	Y	N	N	PileA
p168_1920x1080.png	PASS	354723	0.000717	615950	0.000789	0.5759	-0.000072	Y	Y	Y	PASS
p169_1920x1080.png	PileA	943650	0.000908	1094266	0.001075	0.8624	-0.000167	N	Y	N	PileA
p16_480x320.png	PileA	91320	0.001063	100692	0.001276	0.9069	-0.000213	N	Y	N	PileA
p170_1920x1080.png	PileA	888567	0.000043	902056	0.000168	0.9850	-0.000125	N	Y	N	PileA
p171_1920x1080.png	PileA	320090	0.002031	543270	0.002160	0.5892	-0.000129	Y	Y	Y	PileA
p172_1920x1080.png	PileA	394952	0.000387	647339	0.000452	0.6101	-0.000065	Y	Y	Y	PileA
p173_1920x1080.png	PASS	616762	0.000981	837756	0.001048	0.7362	-0.000067	Y	Y	Y	PASS
p174_1920x1080.png	PileA	1145118	0.001436	1262596	0.001580	0.9070	-0.000144	N	Y	N	PileA
p175_1920x1080.png	PileA	206205	0.003023	523233	0.001966	0.3941	+0.001057	Y	N	N	PileA
p176_1920x1080.png	PASS	933146	0.002135	998980	0.003493	0.9341	-0.001358	N	Y	N	PASS
p177_1920x1080.png	PileA	753314	0.000056	782341	0.000207	0.9629	-0.000151	N	Y	N	PileA
p178_1920x1080.png	PileB	805664	0.002417	933197	0.002275	0.8633	+0.000142	N	N	N	PileB
p179_1920x1080.png	PASS	301172	0.000320	460686	0.000356	0.6537	-0.000036	Y	Y	Y	PASS
p17_480x320.png	PileC	71224	0.001789	80667	0.001572	0.8829	+0.000217	N	N	N	PileC
p180_2400x1600.png	PASS	720218	0.004800	874923	0.007186	0.8232	-0.002386	N	Y	N	PASS
p181_2400x1600.png	PileC	823289	0.004297	871705	0.004865	0.9445	-0.000568	N	Y	N	PileC
p182_2400x1600.png	PileA	729473	0.004149	872395	0.005048	0.8362	-0.000899	N	Y	N	PileA
p183_2400x1600.png	PileA	724230	0.006493	946607	0.008400	0.7651	-0.001907	Y	Y	Y	PileA
p184_2400x1600.png	PASS	806670	0.002905	930943	0.003863	0.8665	-0.000958	N	Y	N	PASS
p185_2400x1600.png	PileA	615710	0.008122	846782	0.010896	0.7271	-0.002774	Y	Y	Y	PileA
